{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 1, 'delta_replicas': 1, 'scaling_t': 2.410431146621704, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 1, 'delta_replicas': 1, 'scaling_t': 2.3574161529541016, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 1, 'delta_replicas': 1, 'scaling_t': 2.1957435607910156, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 2, 'delta_replicas': 2, 'scaling_t': 2.4650025367736816, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 2, 'delta_replicas': 2, 'scaling_t': 2.509706735610962, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 2, 'delta_replicas': 2, 'scaling_t': 2.5842909812927246, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 4, 'delta_replicas': 4, 'scaling_t': 2.9735300540924072, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 4, 'delta_replicas': 4, 'scaling_t': 3.193126678466797, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 4, 'delta_replicas': 4, 'scaling_t': 3.1141114234924316, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 8, 'delta_replicas': 8, 'scaling_t': 6.514753818511963, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 8, 'delta_replicas': 8, 'scaling_t': 6.50611686706543, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 8, 'delta_replicas': 8, 'scaling_t': 6.5272276401519775, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 10, 'delta_replicas': 10, 'scaling_t': 8.31752634048462, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 10, 'delta_replicas': 10, 'scaling_t': 8.52324891090393, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 10, 'delta_replicas': 10, 'scaling_t': 8.337672710418701, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 16, 'delta_replicas': 16, 'scaling_t': 13.9143807888031, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 16, 'delta_replicas': 16, 'scaling_t': 14.629942893981934, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 16, 'delta_replicas': 16, 'scaling_t': 15.818708658218384, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 20, 'delta_replicas': 20, 'scaling_t': 15.40354609489441, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 20, 'delta_replicas': 20, 'scaling_t': 15.790360689163208, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 20, 'delta_replicas': 20, 'scaling_t': 19.79173517227173, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 30, 'delta_replicas': 30, 'scaling_t': 29.23790693283081, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 30, 'delta_replicas': 30, 'scaling_t': 28.206778049468994, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 30, 'delta_replicas': 30, 'scaling_t': 27.86069965362549, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 40, 'delta_replicas': 40, 'scaling_t': 30.162241458892822, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 40, 'delta_replicas': 40, 'scaling_t': 30.153706789016724, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 40, 'delta_replicas': 40, 'scaling_t': 30.173762321472168, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
