name,namespace,node_name_list,node_num,init_replicas,target_replicas,delta_replicas,scaling_t,cpu_limit,mem_limit,cpu_requests,mem_requests
busybox,default,['k8s02'],1,0,1,1,2.410431146621704,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,1,1,2.3574161529541016,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,1,1,2.1957435607910156,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,2,2,2.4650025367736816,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,2,2,2.509706735610962,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,2,2,2.5842909812927246,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,4,4,2.9735300540924072,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,4,4,3.193126678466797,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,4,4,3.1141114234924316,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,8,8,6.514753818511963,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,8,8,6.50611686706543,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,8,8,6.5272276401519775,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,10,10,8.31752634048462,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,10,10,8.52324891090393,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,10,10,8.337672710418701,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,16,16,13.9143807888031,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,16,16,14.629942893981934,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,16,16,15.818708658218384,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,20,20,15.40354609489441,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,20,20,15.790360689163208,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,20,20,19.79173517227173,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,30,30,29.23790693283081,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,30,30,28.206778049468994,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,30,30,27.86069965362549,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,40,40,30.162241458892822,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,40,40,30.153706789016724,0.1,32,0.1,32
busybox,default,['k8s02'],1,0,40,40,30.173762321472168,0.1,32,0.1,32
