name,namespace,node_name_list,node_num,init_replicas,target_replicas,delta_replicas,scaling_t,cpu_limit,mem_limit,cpu_requests,mem_requests
busybox,default,['k8s02'],1,0,1,1,1.3965272903442383,0,0,0,0
busybox,default,['k8s02'],1,0,2,2,2.125655174255371,0,0,0,0
busybox,default,['k8s02'],1,0,4,4,2.6803200244903564,0,0,0,0
busybox,default,['k8s02'],1,0,8,8,6.501699686050415,0,0,0,0
busybox,default,['k8s02'],1,0,10,10,8.311256647109985,0,0,0,0
busybox,default,['k8s02'],1,0,16,16,13.620153665542603,0,0,0,0
busybox,default,['k8s02'],1,0,20,20,16.190431594848633,0,0,0,0
busybox,default,['k8s02'],1,0,30,30,25.5479519367218,0,0,0,0
busybox,default,['k8s02'],1,0,40,40,30.15834379196167,0,0,0,0
busybox,default,"['k8s02', 'k8s03']",2,0,1,1,15.034211158752441,0,0,0,0
busybox,default,"['k8s02', 'k8s03']",2,0,2,2,2.3434438705444336,0,0,0,0
busybox,default,"['k8s02', 'k8s03']",2,0,4,4,2.6795761585235596,0,0,0,0
busybox,default,"['k8s02', 'k8s03']",2,0,8,8,10.900124788284302,0,0,0,0
busybox,default,"['k8s02', 'k8s03']",2,0,10,10,8.522254228591919,0,0,0,0
busybox,default,"['k8s02', 'k8s03']",2,0,16,16,17.924374103546143,0,0,0,0
busybox,default,"['k8s02', 'k8s03']",2,0,20,20,17.597443103790283,0,0,0,0
busybox,default,"['k8s02', 'k8s03']",2,0,30,30,21.601236820220947,0,0,0,0
busybox,default,"['k8s02', 'k8s03']",2,0,40,40,30.15925645828247,0,0,0,0
busybox,default,"['k8s02', 'k8s03', 'k8s04', 'k8s05']",4,0,1,1,10.367093563079834,0,0,0,0
busybox,default,"['k8s02', 'k8s03', 'k8s04', 'k8s05']",4,0,2,2,2.5221593379974365,0,0,0,0
busybox,default,"['k8s02', 'k8s03', 'k8s04', 'k8s05']",4,0,4,4,2.6544744968414307,0,0,0,0
busybox,default,"['k8s02', 'k8s03', 'k8s04', 'k8s05']",4,0,8,8,6.2950215339660645,0,0,0,0
busybox,default,"['k8s02', 'k8s03', 'k8s04', 'k8s05']",4,0,10,10,8.308824062347412,0,0,0,0
busybox,default,"['k8s02', 'k8s03', 'k8s04', 'k8s05']",4,0,16,16,13.492377519607544,0,0,0,0
busybox,default,"['k8s02', 'k8s03', 'k8s04', 'k8s05']",4,0,20,20,17.009729623794556,0,0,0,0
busybox,default,"['k8s02', 'k8s03', 'k8s04', 'k8s05']",4,0,30,30,26.00974464416504,0,0,0,0
busybox,default,"['k8s02', 'k8s03', 'k8s04', 'k8s05']",4,0,40,40,30.136091470718384,0,0,0,0
